epoch,train_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_specificity,val_auc,val_avg_precision,val_mcc,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.37092234605314883,0.8911095796002757,0.8910753301035432,0.8558897243107769,0.940771349862259,0.8963254593175853,0.8413793103448276,0.9595915265507742,0.9628686305178634,0.7860853336938193,610,115,43,683,0.2839082158860628
2,0.23286120675182947,0.8711233631977946,0.871057281276717,0.8115606936416185,0.9669421487603306,0.8824638592080453,0.7751724137931034,0.969873658212216,0.971712432322601,0.7562256532724919,562,163,24,702,0.3113331689064787
3,0.16169123243313882,0.8883528600964852,0.8883233589816661,0.8578680203045685,0.931129476584022,0.892998678996037,0.8455172413793104,0.9595991260568063,0.9623788417142366,0.7795445721925737,613,112,50,676,0.29646554752044396
4,0.10925275560884312,0.8911095796002757,0.8911294765840221,0.9152046783625731,0.8622589531680441,0.8879432624113475,0.92,0.959924004939679,0.9630459758997088,0.7835417157765623,667,58,100,626,0.2742483504963776
5,0.08870628582862658,0.8945554789800138,0.8945473544219626,0.8855989232839838,0.90633608815427,0.8958475153165418,0.8827586206896552,0.96014439061461,0.9648867431996577,0.7893241838273278,640,85,68,658,0.31198033821903204
6,0.07941989431240773,0.8897312198483804,0.8896836705614135,0.8426150121065376,0.9586776859504132,0.8969072164948454,0.8206896551724138,0.9745967512111713,0.9772222710111834,0.7869542484806566,595,130,30,696,0.33230775630654835
7,0.07299529148812521,0.9104066161268091,0.9104094233874798,0.9138888888888889,0.90633608815427,0.9100968188105117,0.9144827586206896,0.9643906146100504,0.9634308506131292,0.8208422395916074,663,62,68,658,0.31068950727181466
8,0.08316792114442506,0.8697450034458993,0.8697112187707798,0.8368883312421581,0.918732782369146,0.8759028233749179,0.8206896551724138,0.9512073715208512,0.9522908796705472,0.7430395038688826,595,130,59,667,0.3745457444373367
9,0.0631742065544672,0.8332184700206754,0.8331366961147526,0.7694877505567929,0.9517906336088154,0.8509852216748769,0.7144827586206897,0.9526142300750451,0.9550127986334057,0.6859446127805682,518,207,35,691,0.47698035544563705
10,0.05779826818325607,0.8787043418332184,0.8787033342832715,0.8777472527472527,0.8801652892561983,0.8789546079779917,0.8772413793103448,0.9454944428612141,0.9526722865727092,0.757410985540861,636,89,87,639,0.3817089511804298
11,0.0421759573989193,0.8917987594762233,0.8917820841645293,0.873850197109067,0.9159779614325069,0.8944182918628111,0.8675862068965517,0.9627006744561604,0.9665525605353517,0.7845037208711538,629,96,61,665,0.35893792012574177
12,0.06987662162858392,0.8938662991040661,0.8938681485703429,0.8961218836565097,0.8911845730027548,0.893646408839779,0.896551724137931,0.9563873848199868,0.9574587697412862,0.7877452769043428,650,75,79,647,0.35863619947293807
13,0.04605021391435798,0.8573397656788422,0.8572793768405054,0.8042203985932005,0.9449035812672176,0.8689043698543382,0.7696551724137931,0.9568965517241381,0.9609221211305917,0.7258554632645724,558,167,40,686,0.47293384011698786
14,0.05359458345072691,0.8725017229496899,0.8724584402013869,0.8310893512851897,0.9352617079889807,0.880103694102398,0.8096551724137931,0.9532915360501567,0.9593991039723828,0.7509127393603126,587,138,47,679,0.4285248651289266
15,0.046149059112430744,0.8793935217091661,0.8794186377885438,0.9093610698365527,0.8429752066115702,0.8749106504646176,0.9158620689655173,0.9415332003419777,0.9486601275053352,0.7608317700949857,664,61,114,612,0.42778664174201486
16,0.03911153200479654,0.8897312198483804,0.8897378170418923,0.8974719101123596,0.8801652892561983,0.8887343532684284,0.8993103448275862,0.9525648332858363,0.9556432629304908,0.7796104316198263,652,73,87,639,0.4207965165766907
17,0.021117300212128022,0.8821502412129566,0.8821288116272442,0.8599221789883269,0.9132231404958677,0.8857715430861723,0.8510344827586207,0.9557889237199582,0.9590247038503613,0.7657648854050766,617,108,63,663,0.4543363834602269
18,0.06071611716383402,0.8731909028256375,0.8732003419777714,0.8838526912181303,0.859504132231405,0.8715083798882681,0.886896551724138,0.9436363636363636,0.946047947909253,0.7466702630656823,643,82,102,624,0.42713704165058414
19,0.03916254183453521,0.8807718814610613,0.880780849244799,0.8910891089108911,0.8677685950413223,0.8792742498255408,0.8937931034482759,0.9495563788353757,0.9551756481330519,0.7618092344387797,648,77,96,630,0.409698040546178
20,0.05278242514587001,0.8807718814610613,0.8807504512206706,0.8586251621271076,0.9118457300275482,0.884435537742151,0.8496551724137931,0.9480440771349863,0.9520453776911181,0.7630027278114316,616,109,64,662,0.42371953671591434
