epoch,loss,lr
1,4.692421224382189,0.0002999259840548597
2,4.289325634638469,0.0002997040092642407
3,4.193467881944445,0.000299334294690462
4,4.143213934368557,0.0002988172051971717
5,4.112771643532647,0.00029815325108927063
6,4.086654053794013,0.00029734308760930326
7,4.0820743507809105,0.00029638751429081204
8,4.05141215854221,0.0002952874741692946
9,4.040211571587457,0.00029404405285154137
10,4.034755415386623,0.0002926584774442729
11,4.030686232778761,0.00029113211534313374
12,4.0202433533138695,0.0002894664728832376
13,4.0083912875917225,0.0002876631938525971
14,4.000290407074822,0.0002857240578699029
15,4.012289298905267,0.00028365097862825513
16,3.982455955611335,0.0002814460020065795
17,3.9766383171081543,0.0002791113040505915
18,3.9777681959999933,0.00027664918882530225
19,3.968415935834249,0.00027406208614118424
20,3.964485208193461,0.0002713525491562421
21,3.9760474363962808,0.00026852325185635354
22,3.961954394976298,0.0002655769864163684
23,3.9674372010760837,0.00026251666044456895
24,3.9551150931252375,0.0002593452941132118
25,3.9438901477389865,0.0002560660171779822
26,3.9516051610310874,0.00025268206588930335
27,3.9351609547932944,0.0002491967797985478
28,3.9385530286365085,0.0002456135984623035
29,3.930502931276957,0.00024193605804794655
30,3.927759501669142,0.00023816778784387105
31,3.9267880651685925,0.00023431250667781966
32,3.9267121818330555,0.00023037401924684952
33,3.9172856675253973,0.00022635621236255572
34,3.9070007933510675,0.00022226305111525731
35,3.9065897597206964,0.00021809857496093204
36,3.9024960332446628,0.00021386689373476092
37,3.8979765044318304,0.00020957218359521712
38,3.8975609805848865,0.00020521868290270177
39,3.904379579755995,0.00020081068803679377
40,3.8840081559287176,0.00019635254915624216
41,3.8933756483925714,0.00019184866590588444
42,3.8891379965676203,0.00018730348307472821
43,3.8800078100628324,0.00018272148620948142
44,3.8683065440919666,0.00017810719718785875
45,3.872253179550171,0.00017346516975603468
46,3.8755644692314997,0.0001687999850346457
47,3.87385540538364,0.00016411624699777717
48,3.8706184228261313,0.00015941857792939706
49,3.866947571436564,0.00015471161386171927
50,3.8675022257698908,0.00015000000000000001
51,3.8547781705856323,0.00014528838613828078
52,3.8637668821546765,0.00014058142207060302
53,3.8612801101472645,0.00013588375300222289
54,3.8599411249160767,0.0001312000149653544
55,3.851837502585517,0.0001265348302439654
56,3.8426530758539834,0.00012189280281214134
57,3.8421380784776478,0.00011727851379051869
58,3.834937744670444,0.0001126965169252718
59,3.8359464009602866,0.00010815133409411566
60,3.8360597292582193,0.00010364745084375796
61,3.8339624139997692,9.918931196320633e-05
62,3.833380553457472,9.478131709729838e-05
63,3.825836459795634,9.042781640478292e-05
64,3.8246364725960627,8.613310626523913e-05
65,3.832770307858785,8.190142503906802e-05
66,3.8251547151141696,7.773694888474271e-05
67,3.827502687772115,7.364378763744433e-05
68,3.8183101812998452,6.96259807531505e-05
69,3.822844492064582,6.568749332218042e-05
70,3.814487271838718,6.183221215612908e-05
71,3.82287327448527,5.806394195205354e-05
72,3.8256234195497303,5.438640153769656e-05
73,3.8147110674116345,5.080322020145227e-05
74,3.812663621372647,4.731793411069671e-05
75,3.81222845448388,4.39339828220179e-05
76,3.811383154657152,4.065470588678832e-05
77,3.812171075079176,3.7483339555431075e-05
78,3.806010617150201,3.442301358363164e-05
79,3.8040350808037653,3.147674814364645e-05
80,3.800563110245599,2.8647450843757908e-05
81,3.8061895502938166,2.5937913858815748e-05
82,3.8065936035580106,2.3350811174697777e-05
83,3.8023361100090876,2.088869594940844e-05
84,3.8048424455854626,1.8553997993420465e-05
85,3.806810882356432,1.6349021371744834e-05
86,3.804038021299574,1.4275942130097098e-05
87,3.803446372350057,1.2336806147402864e-05
88,3.7973954147762723,1.0533527116762298e-05
89,3.802494009335836,8.867884656866183e-06
90,3.800563163227505,7.341522555726971e-06
91,3.8026772207683988,5.955947148458557e-06
92,3.8041336403952704,4.712525830705355e-06
93,3.8030847443474665,3.612485709187901e-06
94,3.791986266771952,2.6569123906966916e-06
95,3.7935422923829822,1.8467489107293509e-06
96,3.7943655252456665,1.1827948028283352e-06
97,3.7904067171944513,6.657053095380005e-07
98,3.790312541855706,2.9599073575926616e-07
99,3.7946137852138944,7.401594514025999e-08
100,3.800485054651896,0.0
