Model,Accuracy,Balanced Acc,Precision,Recall,F1,Specificity,AUC,Avg Precision,MCC
Color Jitter (seed42),0.9118,0.9118,0.9131,0.9106,0.9118,0.9131,0.9669,0.9701,0.8237
Gaussian Blur (seed42),0.9077,0.9077,0.9124,0.9023,0.9073,0.9131,0.9645,0.9697,0.8155
Gaussian Noise (seed42),0.7287,0.7283,0.6575,0.9560,0.7791,0.5007,0.8882,0.8939,0.5131
Jpeg Compression (seed42),0.8264,0.8263,0.7568,0.9629,0.8475,0.6897,0.9516,0.9443,0.6785
None (seed42),0.9070,0.9071,0.9526,0.8569,0.9022,0.9572,0.9705,0.9734,0.8182
Pseudo Labeled10Pct (seed42),0.8602,0.8602,0.8541,0.8693,0.8616,0.8510,0.9387,0.9350,0.7205
Pseudo Labeled20Pct (seed42),0.8767,0.8768,0.8994,0.8487,0.8733,0.9048,0.9452,0.9457,0.7547
Pseudo Labeled30Pct (seed42),0.8994,0.8995,0.9241,0.8707,0.8966,0.9283,0.9541,0.9559,0.8003
Random Crop (seed42),0.8912,0.8912,0.8809,0.9051,0.8928,0.8772,0.9623,0.9659,0.7827
Weak (seed42),0.9063,0.9063,0.8945,0.9216,0.9079,0.8910,0.9664,0.9710,0.8130
Weak (ViT) (seed42),0.4924,0.4931,0.2222,0.0055,0.0107,0.9807,0.5323,0.5054,-0.0624
Simclr V2 Backbone,0.4993,0.5000,0.0000,0.0000,0.0000,1.0000,0.4501,0.4604,0.0000
Simclr V2 Finetuned,0.5517,0.5513,0.5346,0.8074,0.6433,0.2952,0.5632,0.5591,0.1195
Simclr V2 Linear Probe,0.4559,0.4558,0.4646,0.5681,0.5111,0.3434,0.4292,0.4434,-0.0908
